date,weekly_deaths,weekly_google_searches
2020-11-15,8035.0,51.0
2020-11-22,10513.0,45.0
2020-11-29,10160.0,49.0
2020-12-06,15558.0,51.0
2020-12-13,17019.0,48.0
2020-12-20,18472.0,69.0
2020-12-27,15443.0,84.0
2021-01-03,18441.0,78.0
2021-01-10,22746.0,75.0
2021-01-17,23184.0,74.0
2021-01-24,21595.0,71.0
2021-01-31,22080.0,75.0
2021-02-07,22054.0,77.0
2021-02-14,21801.0,69.0
2021-02-21,13496.0,58.0
2021-02-28,14329.0,48.0
2021-03-07,11667.0,45.0
2021-03-14,9851.0,40.0
2021-03-21,7463.0,35.0
2021-03-28,6931.0,29.0
2021-04-04,5705.0,29.0
2021-04-11,6963.0,28.0
2021-04-18,5270.0,27.0
2021-04-25,4948.0,26.0
2021-05-02,4887.0,30.0
2021-05-09,4636.0,29.0
2021-05-16,4274.0,33.0
2021-05-23,3944.0,32.0
2021-05-30,4653.0,27.0
2021-06-06,2632.0,26.0
2021-06-13,2525.0,23.0
2021-06-20,2102.0,20.0
2021-06-27,2153.0,19.0
2021-07-04,1499.0,16.0
2021-07-11,1571.0,14.0
2021-07-18,1913.0,14.0
2021-07-25,1883.0,14.0
2021-08-01,2533.0,14.0
2021-08-08,3612.0,16.0
2021-08-15,4634.0,18.0
2021-08-22,7057.0,23.0
2021-08-29,9071.0,35.0
2021-09-05,10917.0,47.0
2021-09-12,11581.0,60.0
2021-09-19,14085.0,63.0
2021-09-26,14239.0,65.0
2021-10-03,13302.0,67.0
2021-10-10,12481.0,63.0
2021-10-17,10712.0,55.0
2021-10-24,11623.0,49.0
2021-10-31,9447.0,41.0
2021-11-07,8525.0,36.0
2021-11-14,7966.0,29.0
2021-11-21,9935.0,24.0
2021-11-28,5581.0,22.0
2021-12-05,9568.0,20.0
2021-12-12,9004.0,22.0
2021-12-19,9012.0,23.0
2021-12-26,10057.0,23.0
2022-01-02,9450.0,23.0
2022-01-09,11887.0,29.0
2022-01-16,13781.0,28.0
2022-01-23,15178.0,38.0
2022-01-30,17683.0,74.0
