title,Javier ratings
'71 (2014),
'Hellboy': The Seeds of Creation (2004),
'Round Midnight (1986),
'Salem's Lot (2004),
'Til There Was You (1997),
'Tis the Season for Love (2015),
"'burbs, The (1989)",
'night Mother (1986),
(500) Days of Summer (2009),
*batteries not included (1987),
...All the Marbles (1981),
...And Justice for All (1979),
00 Schneider - Jagd auf Nihil Baxter (1994),
1-900 (06) (1994),
10 (1979),
10 Cent Pistol (2015),
10 Cloverfield Lane (2016),
10 Items or Less (2006),
10 Things I Hate About You (1999),
10 Years (2011),
"10,000 BC (2008)",
100 Girls (2000),
100 Streets (2016),
101 Dalmatians (1996),5
101 Dalmatians (One Hundred and One Dalmatians) (1961),5
101 Dalmatians II: Patch's London Adventure (2003),
101 Reykjavik (101 Reykjavík) (2000),
102 Dalmatians (2000),
10th & Wolf (2006),
"10th Kingdom, The (2000)",
"10th Victim, The (La decima vittima) (1965)",
"11'09""01 - September 11 (2002)",
11:14 (2003),
"11th Hour, The (2007)",
12 Angry Men (1957),
12 Angry Men (1997),
12 Chairs (1971),
12 Chairs (1976),
12 Rounds (2009),
12 Years a Slave (2013),
127 Hours (2010),
13 Assassins (Jûsan-nin no shikaku) (2010),
13 Ghosts (1960),
13 Going on 30 (2004),
13 Hours (2016),
13 Sins (2014),
13 Tzameti (2005),
13th (2016),
"13th Warrior, The (1999)",
1408 (2007),
1492: Conquest of Paradise (1992),
15 Minutes (2001),
16 Blocks (2006),
17 Again (2009),
1776 (1972),
18 Again! (1988),
187 (One Eight Seven) (1997),
1900 (Novecento) (1976),
1941 (1979),
1969 (1988),
1984 (Nineteen Eighty-Four) (1984),
2 Days in New York (2012),
2 Days in Paris (2007),
2 Days in the Valley (1996),
"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)",
2 Guns (2013),
20 Dates (1998),
20 Feet from Stardom (Twenty Feet from Stardom) (2013),
20 Million Miles to Earth (1957),
"20,000 Days on Earth (2014)",
"20,000 Leagues Under the Sea (1916)",
"20,000 Leagues Under the Sea (1954)",
200 Cigarettes (1999),
2001 Maniacs (2005),
2001: A Space Odyssey (1968),
2010: The Year We Make Contact (1984),
2012 (2009),
2046 (2004),
2048: Nowhere to Run (2017),
21 (2008),
21 Grams (2003),
21 Jump Street (2012),
21 Up (1977),
21 and Over (2013),
22 Jump Street (2014),
24 Hour Party People (2002),
25th Hour (2002),
27 Dresses (2008),
28 Days (2000),
28 Days Later (2002),2
28 Up (1985),
28 Weeks Later (2007),
3 Days to Kill (2014),
3 Extremes (Three... Extremes) (Saam gaang yi) (2004),
3 Idiots (2009),
3 Ninjas (1992),5
3 Ninjas Kick Back (1994),4
3 Ninjas Knuckle Up (1995),
3 Ninjas: High Noon On Mega Mountain (1998),
3 Women (Three Women) (1977),
3 dev adam (Three Giant Men) (1973) ,
3-Iron (Bin-jip) (2004),
30 Days of Night (2007),
30 Minutes or Less (2011),
300 (2007),
3000 Miles to Graceland (2001),
300: Rise of an Empire (2014),
31 (2016),
35 Up (1991),
"39 Steps, The (1935)",
3:10 to Yuma (1957),
3:10 to Yuma (2007),
