DATE,AWND,PRCP,SNOW,TAVG,day_of_week,month,holiday,LOAD
2018-01-01,17.67,0.0,0.0,12,0,1,1.0,1719.182033898306
2018-01-02,15.66,0.0,0.0,18,1,1,0.0,1764.7148148148146
2018-01-03,8.28,0.0,0.0,21,2,1,0.0,1699.275172413793
2018-01-04,28.19,0.49,8.0,25,3,1,0.0,1722.843749999999
2018-01-05,25.05,0.0,0.0,15,4,1,0.0,1773.5669966996697
2018-01-06,22.15,0.0,0.0,11,5,1,0.0,1761.8200000000006
2018-01-07,13.87,0.0,0.0,9,6,1,0.0,1758.7892617449672
2018-01-08,13.42,0.02,0.0,22,0,1,0.0,1713.7158783783789
2018-01-09,13.42,0.0,0.0,34,1,1,0.0,1601.3882758620698
2018-01-10,4.92,0.0,0.0,32,2,1,0.0,1593.1305555555564
2018-01-11,2.91,0.0,0.0,41,3,1,0.0,1437.460701754386
2018-01-12,16.11,0.45,0.0,47,4,1,0.0,1362.9506711409397
2018-01-13,20.58,0.08,0.0,41,5,1,0.0,1484.3239583333332
2018-01-14,15.66,0.0,0.0,20,6,1,0.0,1615.3500000000004
2018-01-15,11.86,0.0,0.0,22,0,1,1.0,1675.0444444444443
2018-01-16,6.26,0.0,0.0,29,1,1,0.0,1618.5329861111122
2018-01-17,11.41,0.22,0.2,35,2,1,0.0,1583.0515358361786
2018-01-18,14.99,0.0,0.0,26,3,1,0.0,1620.9230508474573
2018-01-19,10.29,0.0,0.0,30,4,1,0.0,1555.9551724137932
2018-01-20,13.42,0.0,0.0,40,5,1,0.0,1395.9725694444442
2018-01-21,6.71,0.0,0.0,41,6,1,0.0,1354.5604166666674
2018-01-22,5.37,0.0,0.0,44,0,1,0.0,1460.3725694444438
2018-01-23,14.09,0.22,0.0,46,1,1,0.0,1438.450347222222
2018-01-24,17.22,0.0,0.0,42,2,1,0.0,1467.5666666666677
2018-01-25,15.43,0.0,0.0,29,3,1,0.0,1541.9631034482761
2018-01-26,8.5,0.0,0.0,30,4,1,0.0,1511.9034722222223
2018-01-27,11.86,0.0,0.0,38,5,1,0.0,1339.8972413793103
2018-01-28,5.14,0.26,0.0,46,6,1,0.0,1258.8968965517242
2018-01-29,15.21,0.0,0.1,42,0,1,0.0,1366.2041666666662
2018-01-30,15.21,0.1,1.4,33,1,1,0.0,1501.5206896551726
2018-01-31,13.87,0.0,0.0,25,2,1,0.0,1535.9279310344816
2018-02-01,8.28,0.05,0.0,35,3,2,0.0,1488.3537931034475
2018-02-02,20.13,0.21,0.0,33,4,2,0.0,1520.6523972602756
2018-02-03,15.66,0.0,0.0,22,5,2,0.0,1514.2993103448287
2018-02-04,10.29,0.96,0.0,35,6,2,0.0,1457.9508591065287
2018-02-05,15.43,0.0,0.0,38,0,2,0.0,1483.0211604095573
2018-02-06,5.82,0.0,0.0,30,1,2,0.0,1533.182986111111
2018-02-07,12.53,0.84,0.3,33,2,2,0.0,1568.3180555555552
2018-02-08,13.42,0.0,0.0,33,3,2,0.0,1544.1218749999998
2018-02-09,10.07,0.0,0.0,29,4,2,0.0,1565.1310344827577
2018-02-10,4.47,0.27,0.0,41,5,2,0.0,1403.1496527777776
