gene,level 1,level 2,level 3,level 4,level 5,level 6,level 7,level 8,level 9,level 10,level 11,level 12,level 13,level 14,level 15,level 16,level 17,level 18,level 19,level 20,level 21,level 22,level 23,level 24,level 25,level 26,level 27,level 28,level 29,level 30,level 31,level 32,level 33,level 34,level 35,level 36,level 37,level 38,level 39,level 40,level 41,level 42,level 43,level 44,level 45,level 46,level 47,level 48,level 49,level 50,level 51,level 52
YJR008W,2.8989999999999996,2.289,2.4730000000000003,-0.258,0.0,0.794,1.339,1.151,0.196,0.281,0.126,0.23199999999999998,0.052000000000000005,-0.03,0.24100000000000002,0.3,0.369,0.56,0.547,0.52,0.836,0.527,0.24600000000000002,0.2,0.04,0.494,0.509,0.27699999999999997,0.285,0.66,-0.135,0.294,0.272,0.083,-0.034,-0.478,-1.083,-0.5770000000000001,-0.466,-0.561,-0.312,0.019,-0.045,0.006999999999999999,-0.297,-0.14300000000000002,0.027999999999999997,-0.081,0.325,-0.185,0.085,0.165
YOR342C,-1.6059999999999999,-1.0,-1.252,0.52,-0.18,-0.02,-0.23,-0.359,-0.22,-0.03,-0.14,-0.25,-0.29,-0.501,-0.402,-0.861,-0.9420000000000001,-0.551,-0.9620000000000001,-1.367,-1.6130000000000002,-0.62,-0.807,-0.13,-0.042,-0.13,-0.28,-0.919,-0.5529999999999999,0.29,0.0,-0.904,-0.544,-0.5529999999999999,-0.35600000000000004,0.5,0.24,0.21,0.379,-0.09,0.069,-0.575,-0.631,-0.627,-0.659,0.209,-0.05,0.08,-0.079,-0.07,0.01,0.46
YPR015C,0.35,0.16699999999999998,0.141,1.74,0.914,0.16399999999999998,0.971,0.578,0.23,0.07,-0.28300000000000003,-0.319,0.035,-0.6709999999999999,0.064,0.807,0.7979999999999999,0.95,1.456,1.9069999999999998,2.443,2.0,0.537,-0.096,0.473,0.29,0.228,0.607,0.37200000000000005,0.9179999999999999,0.8340000000000001,0.955,0.155,0.023,0.136,-0.042,-0.851,-0.9179999999999999,-0.613,-0.424,1.465,0.304,-0.065,-0.033,0.231,-0.604,-0.42,-0.066,-0.035,-0.1,0.22,0.094
YLR061W,-1.995,-0.993,-1.3,0.578,-0.22,-0.7490000000000001,-0.3,-0.5710000000000001,-1.212,-0.21600000000000003,0.156,0.033,0.142,0.16399999999999998,0.174,0.028999999999999998,-0.225,-0.171,-0.1,-0.408,-0.462,-0.507,0.16399999999999998,-0.43799999999999994,-0.6609999999999999,-0.602,-0.752,-0.693,-0.879,-0.7020000000000001,-0.114,-0.067,-0.439,-0.386,0.35,0.113,0.231,0.475,-0.88,-0.542,0.24100000000000002,-0.21899999999999997,0.245,-0.057,0.059000000000000004,0.49200000000000005,0.26899999999999996,-0.07200000000000001,-0.092,0.465,0.109,-0.536
YNR034W,0.797,0.9790000000000001,0.455,-0.23800000000000002,0.415,0.322,0.7559999999999999,0.389,0.532,0.34299999999999997,0.09699999999999999,0.17800000000000002,0.032,0.264,0.318,0.555,0.47100000000000003,0.843,0.602,0.799,0.866,0.653,0.537,0.46299999999999997,-0.15,-0.406,0.163,0.021,-0.098,0.15,-0.161,0.268,-0.139,0.159,0.084,0.341,0.49200000000000005,0.5870000000000001,0.644,0.469,0.159,-0.18899999999999997,-0.348,-0.10099999999999999,-0.187,-0.046,-0.042,-0.239,-0.456,0.386,0.17800000000000002,0.591
YER033C,1.2229999999999999,1.102,0.526,0.078,0.419,0.21600000000000003,0.233,0.172,0.878,-0.18,0.013000000000000001,-0.034,-0.151,0.166,0.105,-0.059000000000000004,0.20600000000000002,0.485,0.542,0.275,0.345,0.391,0.35700000000000004,0.27399999999999997,0.203,0.8759999999999999,0.124,0.11199999999999999,-0.204,-0.519,-0.061,-0.066,-0.025,-0.147,0.19399999999999998,0.373,0.004,0.331,0.121,0.22699999999999998,0.004,0.285,-0.32899999999999996,-0.293,-0.204,-0.243,-0.41200000000000003,-0.067,0.16399999999999998,0.13699999999999998,0.07400000000000001,0.38299999999999995
YOR208W,1.662,1.885,1.347,0.16,0.335,0.32,-0.585,-0.5329999999999999,-0.523,-0.355,-0.15,-0.198,-0.33899999999999997,-0.73,0.099,0.20199999999999999,0.23600000000000002,0.171,0.231,0.242,0.386,0.507,-0.064,-0.428,0.794,0.354,0.027000000000000003,0.1,0.446,0.129,0.24600000000000002,0.262,-0.324,-0.057,-0.127,0.15,-0.213,-0.115,0.41700000000000004,0.145,0.154,-0.14800000000000002,-0.147,-0.23199999999999998,-0.204,-0.233,-0.34600000000000003,-0.257,-0.158,0.147,0.08199999999999999,-0.21600000000000003
YOL013C,1.726,1.6380000000000001,1.051,-0.245,0.968,0.29100000000000004,0.569,0.43700000000000006,0.006,-0.39899999999999997,0.256,0.192,0.158,0.107,0.5,0.7,0.637,0.478,0.36700000000000005,0.304,0.43,0.37200000000000005,0.11800000000000001,0.78,0.0,0.314,0.24600000000000002,-0.106,-0.35600000000000004,-0.161,0.183,-0.145,-0.08,-0.052000000000000005,0.268,0.015,0.195,0.29100000000000004,0.188,0.19399999999999998,0.423,0.213,-0.315,0.0,-0.35,0.09,0.021,-0.17600000000000002,0.49200000000000005,0.214,-0.01,0.131
YBL024W,-1.621,-0.74,-1.4669999999999999,-0.02,-1.45,-1.2,-1.28,-0.97,-0.43799999999999994,-0.27,0.15,0.14,0.04,-0.14,-0.384,-0.32299999999999995,-0.27,-0.79,-0.63,-0.75,-0.78,-0.98,-0.48,-1.0,-0.07400000000000001,-0.903,-1.14,-0.56,-0.31,-0.66,-0.61,-0.6,-0.52,0.12,0.07,0.23600000000000002,0.102,-0.426,0.381,0.18100000000000002,0.055,-0.4,-0.01,-0.43,-0.52,0.387,0.19,0.02,-0.19399999999999998,-0.062,0.109,-0.107
YPL198W,-2.129,-1.23,-1.589,0.5329999999999999,-0.85,-0.9470000000000001,-0.5,-0.504,-1.706,-0.142,-0.19899999999999998,-0.174,-0.254,-0.46299999999999997,-0.038,-0.239,-0.284,-0.44299999999999995,-0.539,-0.628,-0.643,-0.763,-0.34700000000000003,-0.745,-1.061,-0.34299999999999997,-0.838,-0.799,-0.6970000000000001,-0.87,-0.267,-0.501,-0.261,0.011000000000000001,-0.53,0.418,0.317,0.083,-0.382,-0.26,0.257,-0.08900000000000001,0.131,-0.012,0.003,0.375,0.17300000000000001,-0.084,0.225,0.079,0.155,-0.28300000000000003
YLR388W,-2.289,-1.3940000000000001,-1.9369999999999998,0.583,-0.47600000000000003,-0.316,-0.267,-0.5539999999999999,-1.245,-0.048,0.079,-0.129,0.198,0.252,0.045,-0.221,-0.449,-0.298,-0.59,-0.7509999999999999,-0.779,-0.66,-0.40399999999999997,-0.34,0.195,0.052000000000000005,-0.5539999999999999,-0.38299999999999995,-0.245,-0.044000000000000004,0.07200000000000001,-0.22,-0.456,-0.46799999999999997,0.25,-0.022000000000000002,0.10800000000000001,0.379,-0.845,-0.361,0.154,0.191,0.27899999999999997,0.406,0.33899999999999997,0.611,0.41200000000000003,0.107,0.313,0.371,-0.212,0.413
